Packet number,Time
374,61.66062
375,61.70807
376,62.45807
377,62.56528
378,62.98769
379,63.10789
380,63.85789
381,63.975970000000004
382,64.03819
383,64.28822
384,64.33596
385,64.42714000000001
386,64.44871
387,64.46352
388,64.55662
389,64.62239
390,65.37239
391,65.38711
392,66.13711
393,66.46852
394,66.5689
395,66.67908
396,66.69824
397,66.7014
398,66.72214
399,66.73078
400,67.48078
401,68.23078
402,68.25523
403,68.26017999999999
404,68.36482000000001
405,69.11482000000001
406,69.65584
407,69.70331
408,69.91786
409,70.66786
410,70.7681
411,70.79661
412,70.86337
413,71.0683
414,71.12865
415,71.36586
416,71.37437
417,71.41227
418,71.41532000000001
419,72.16532000000001
420,72.2456
421,72.9956
422,73.02736999999999
423,73.77736999999999
424,74.52736999999999
425,74.55756
426,74.58424
427,75.33424
428,75.35220000000001
429,76.10220000000001
430,76.38803999999999
431,76.40938
432,76.50755000000001
433,76.53537
434,77.28537
435,77.30196000000001
436,77.39994
437,77.49061
438,77.60351
439,77.70066
440,77.9747
441,78.40773
442,78.43088
443,78.48649
444,78.54649
445,78.60508
446,78.71846
447,78.77529
448,78.85981000000001
449,78.95707999999999
450,79.24540999999999
451,79.24924
452,79.99924
453,80.10204999999999
454,80.15208
455,80.90208
456,80.92455000000001
457,81.67455000000001
458,81.72166
459,81.74959
460,81.91991999999999
461,82.10112000000001
462,82.85112000000001
463,82.8819
464,82.99002
465,83.06987000000001
466,83.16846000000001
467,83.91846000000001
468,84.09181000000001
469,84.13504
470,84.19521
471,84.29631
472,84.44844
473,84.48458
474,84.62192999999999
475,84.7539
476,85.5039
477,85.54321
478,85.56112999999999
479,85.56827
480,85.58268000000001
481,85.64832
482,85.6648
483,85.89292
484,86.16224
485,86.91224
486,87.02673
487,87.77673
488,87.78863
489,87.89144999999999
490,87.90028000000001
491,87.9702
492,88.28121999999999
493,88.30053000000001
494,88.37375
495,89.12375
496,89.87375
497,90.62375
498,91.37375
499,91.54585
500,91.66105999999999
501,92.03853000000001
502,92.05456000000001
503,92.80456000000001
504,92.8395
505,92.92533
506,93.11076
507,93.22378
508,93.30946
509,93.45233999999999
510,93.58267000000001
511,93.65969
512,93.71795
513,94.46795
514,94.47969
515,94.85522
516,94.91635
517,95.12743
518,95.18045000000001
519,95.93045000000001
520,96.04347
521,96.04481
522,96.05051
523,96.09135
524,96.82334
525,96.91078
526,97.00738
527,97.75738
528,97.79428
529,98.54428
530,98.57011
531,99.32011
532,100.07011
533,100.82011
534,101.57011
535,101.72011
536,101.82900000000001
537,101.83485999999999
538,102.12809
539,102.12996
540,102.13592
541,102.27485999999999
542,102.32301
543,102.38699
544,103.13699
545,103.26593
546,103.42611
547,103.50285
548,103.54263
549,103.70239000000001
550,103.75568
551,103.76588000000001
552,104.51588000000001
553,105.26588000000001
554,106.01588000000001
555,106.1217
556,106.25337999999999
557,106.38311999999999
558,107.13311999999999
559,107.28184
560,107.44436999999999
561,107.57889
562,108.32889
563,108.39844
564,109.14844
565,109.17134
566,109.17537
567,109.17969
568,109.227
569,109.23167000000001
570,109.23895
571,109.28696
572,109.31555
573,110.06555
574,110.25943000000001
575,110.35464
576,110.35464999999999
577,110.44184
578,111.19184
579,111.43961999999999
580,111.46166
581,112.21166
582,112.96166
583,113.00593
584,113.0457
585,113.35872
586,113.39493999999999
587,113.40906
588,113.439
589,113.47479
590,114.22479
591,114.97479
592,115.72479
593,115.73140000000001
594,115.78323
595,115.84799000000001
596,116.01508
597,116.76508
598,116.77170000000001
599,116.94117
600,116.97811
601,116.99803
602,117.17719
603,117.25057000000001
604,118.00057000000001
605,118.01389
606,118.14377
607,118.17444
608,118.22668
609,118.97668
610,118.97744
611,119.0658
612,119.23037
613,119.23722000000001
614,119.25363
615,119.39654
616,119.50784999999999
617,119.54231
618,119.5583
619,120.3083
620,120.33767
621,120.47245000000001
622,121.22245000000001
623,121.34714
624,121.44602
625,121.46222
626,121.5415
627,121.57598
628,121.85285999999999
629,122.12136000000001
630,122.38202
631,122.38607999999999
632,122.40477
633,122.41369
634,122.50784999999999
635,122.54714
636,123.29714
637,123.33676
638,123.54629
639,123.71307
640,123.73131000000001
641,124.48131000000001
642,124.53843
643,124.68594999999999
644,124.70611
645,124.77427
646,125.52427
647,125.59622
648,125.75755000000001
649,125.83700999999999
650,125.84801999999999
651,125.90173
652,125.92842
653,125.99475000000001
654,126.00862000000001
655,126.13245
656,126.20002
657,126.20743999999999
658,126.38729000000001
659,126.55177
660,127.30177
661,127.38448
662,127.39887999999999
663,127.47385
664,127.55112
665,127.56366
